country,count
United Kingdom,7351
Italy,3596
Greece,2189
Iraq,1515
China,1499
Cyprus,1037
Turkey,911
Egypt,878
India,860
France,563
Iran,439
Syria,264
Spain,243
Mexico,242
Peru,240
Sudan,239
Pakistan,232
USA,222
Nigeria,187
Germany,182
Afghanistan,155
Libya,151
Morocco,129
Tajikistan,125
USA/Canada (unspecified),122
Jordan,116
Tunisia,113
Canada,107
Palestine,106
Ireland,105
Indonesia,100
Sri Lanka,86
Korea,72
Tibet (China),71
Ukraine,70
Russia,67
Hungary,62
Sweden,61
Lebanon,60
Japan,56
Colombia,54
DR Congo,53
Tanzania,48
Botswana,43
Ghana,42
Unidentified/ambiguous,39
New Zealand,37
Australia,35
Israel,33
Turkey/Syria,31
Switzerland,29
Algeria,26
Nepal,25
Latvia,23
Israel/Palestine,23
India/Pakistan,20
Honduras,19
Malaysia,19
Poland,18
Ethiopia,18
Yemen,15
Somalia,14
Mozambique,13
South Africa,12
North Macedonia,12
Europe (unspecified),11
Cameroon,11
French Polynesia,11
Denmark,11
Uganda,10
South Korea,10
Norway,10
Chile,9
Guyana,9
Azerbaijan,9
Guatemala,9
Bulgaria,9
Syria/Turkey,8
Indonesia/Malaysia,8
Kiribati,8
Romania,7
Caucasus (unspecified),6
Belgium/France,6
China/Indonesia,6
Kenya,6
Papua New Guinea,6
Serbia,6
Kyrgyzstan/Russia,5
Vietnam,5
Croatia,5
Lebanon/Syria,4
Austria,4
North Macedonia/Greece,4
Mexico/Central America,4
Singapore,4
Zimbabwe,4
Levant region (Syria/Lebanon/Israel/Palestine/Jordan),3
Asia (unspecified),3
Malta,3
Thailand,3
Africa (unspecified),3
Greenland (Denmark),3
South Sudan,3
Estonia,3
USA/Canada,3
Solomon Islands,3
Brazil,3
Madagascar,3
Kosovo,2
Central America (unspecified),2
Germany/Netherlands,2
Kazakhstan/Central Asia,2
Cook Islands,2
Argentina/Chile,2
Lesotho,2
Sierra Leone,2
Tonga,2
Mali,2
Zambia,2
Rwanda,2
Zimbabwe/Eswatini,2
Portugal,2
Belgium,2
Bangladesh,2
Malawi,2
United Arab Emirates,1
Albania,1
Armenia,1
Czech Republic,1
Tajikistan/Afghanistan,1
Germany/France/Luxembourg,1
Mediterranean region (unspecified),1
Italy/Switzerland,1
North Korea,1
Central Asia (unspecified),1
Unidentified/ambiguous (object descriptor),1
Ecuador,1
Uzbekistan,1
Bahamas,1
Saudi Arabia,1
Eritrea,1
Iraq/Afghanistan,1
Pitcairn Islands (UK),1
Angola,1
Fiji,1
Côte d'Ivoire,1
Mexico/USA,1
Botswana/South Africa,1
Finland,1
Micronesia,1
Gabon,1
Namibia,1
Guinea-Bissau,1
Bolivia,1
Kazakhstan,1
Benin,1
Colombia/Peru,1
Senegal,1
Chad,1
"South America (Amazonia, unspecified)",1
